05-03-2023 00:00:50.597;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
05-03-2023 00:05:50.622;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
05-03-2023 00:10:50.646;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
05-03-2023 00:15:50.675;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
05-03-2023 00:20:50.698;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
05-03-2023 00:25:50.719;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
05-03-2023 00:30:50.741;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
05-03-2023 00:35:50.763;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
05-03-2023 00:40:50.785;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
05-03-2023 00:45:50.809;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
05-03-2023 00:50:50.833;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
05-03-2023 00:55:50.856;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
05-03-2023 01:00:50.880;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
05-03-2023 01:05:50.903;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
05-03-2023 01:10:50.927;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
05-03-2023 01:15:50.950;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
05-03-2023 01:20:50.971;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
05-03-2023 01:25:50.992;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
05-03-2023 01:30:51.012;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
05-03-2023 01:35:51.033;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
05-03-2023 01:40:51.055;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
05-03-2023 01:45:51.076;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
05-03-2023 01:50:51.097;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
05-03-2023 01:55:51.120;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
05-03-2023 02:00:51.143;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
05-03-2023 02:05:51.165;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
05-03-2023 02:10:51.186;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
05-03-2023 02:15:51.209;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
05-03-2023 02:20:51.231;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
05-03-2023 02:25:51.261;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
05-03-2023 02:30:51.275;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
05-03-2023 02:35:51.298;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
05-03-2023 02:40:51.320;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
05-03-2023 02:45:51.339;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
05-03-2023 02:50:51.361;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
05-03-2023 02:55:51.384;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
05-03-2023 03:00:51.405;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
