27-02-2023 00:02:07.578;StatusLog;AC; NORMAL_OP; TV_ON_SILENT; 0; -; M: 0 | F: 0; 
27-02-2023 00:02:09.970;StatusLog;AC; NORMAL_OP; TV_ON; 0; -; M: 0 | F: 0; 
27-02-2023 00:03:42.145;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 00:08:40.742;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 00:13:40.764;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 00:18:40.785;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 00:23:40.806;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 00:28:40.835;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 00:33:40.853;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 00:38:40.875;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 00:43:40.898;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 00:48:40.917;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 00:53:40.939;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 00:58:40.965;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 01:03:40.986;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 01:08:41.007;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 01:13:41.034;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 01:18:41.055;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 01:23:41.078;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 01:28:41.102;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 01:33:41.124;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 01:38:41.147;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 01:43:41.169;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 01:48:41.189;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 01:53:41.211;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 01:58:41.232;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 02:03:41.247;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 02:08:41.268;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 02:13:41.292;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 02:18:41.316;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 02:23:41.338;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 02:28:41.359;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 02:33:41.381;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 02:38:41.404;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 02:43:41.425;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
