16-07-2023 00:04:25.060;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
16-07-2023 00:09:25.081;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
16-07-2023 00:14:25.098;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
16-07-2023 00:19:25.118;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
16-07-2023 00:24:25.142;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
16-07-2023 00:29:25.165;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
16-07-2023 00:34:25.186;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
16-07-2023 00:39:25.210;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
16-07-2023 00:44:25.231;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
16-07-2023 00:49:25.252;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
16-07-2023 00:54:25.274;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
16-07-2023 00:59:25.296;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
16-07-2023 01:04:25.318;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
16-07-2023 01:09:25.339;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
16-07-2023 01:14:25.355;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
16-07-2023 01:19:25.377;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
16-07-2023 01:24:25.398;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
16-07-2023 01:29:25.420;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
16-07-2023 01:34:25.450;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
16-07-2023 01:39:25.467;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
16-07-2023 01:44:25.489;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
16-07-2023 01:49:25.511;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
16-07-2023 01:54:25.525;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
16-07-2023 01:59:25.546;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
16-07-2023 02:04:25.567;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
16-07-2023 02:09:25.593;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
16-07-2023 02:14:25.610;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
16-07-2023 02:19:25.635;StatusLog;AC; NORMAL_OP; TV_OFF; 2; -; -; 
