24-01-2023 00:03:15.822;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
24-01-2023 00:08:15.840;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
24-01-2023 00:13:15.858;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
24-01-2023 00:18:15.880;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
24-01-2023 00:23:15.906;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
24-01-2023 00:28:15.926;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
24-01-2023 00:33:15.949;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
24-01-2023 00:38:15.972;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
24-01-2023 00:43:15.994;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
24-01-2023 00:48:16.016;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
24-01-2023 00:53:16.036;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
24-01-2023 00:58:16.058;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
24-01-2023 01:03:16.078;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
24-01-2023 01:06:38.591;StatusLog;AC; NORMAL_OP; TV_ON_SILENT; 0; -; M: 0 | F: 0; 
24-01-2023 01:06:48.926;StatusLog;AC; NORMAL_OP; TV_ON_SILENT; 0; 6; M: 0 | F: 0; 
24-01-2023 01:07:05.545;StatusLog;AC; NORMAL_OP; TV_ON; 0; 6; M: 0 | F: 0; 
24-01-2023 01:08:21.361;StatusLog;AC; NORMAL_OP; TV_ON_SILENT; 0; 6; M: 0 | F: 0; 
24-01-2023 01:08:25.824;StatusLog;AC; NORMAL_OP; TV_ON; 0; 6; M: 0 | F: 0; 
24-01-2023 01:08:33.128;StatusLog;AC; NORMAL_OP; TV_ON_SILENT; 0; 6; M: 0 | F: 0; 
24-01-2023 01:09:29.307;StatusLog;AC; NORMAL_OP; TV_ON; 0; 6; M: 0 | F: 0; 
24-01-2023 02:25:57.436;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
24-01-2023 02:26:26.593;StatusLog;AC; NORMAL_OP; TV_ON; 0; 6; M: 0 | F: 0; 
24-01-2023 02:26:40.826;StatusLog;AC; NORMAL_OP; TV_ON; 0; 6; M: 0 | F: 0; 
24-01-2023 05:22:12.149;StatusLog;AC; NORMAL_OP; TV_ON_SILENT; 0; 6; M: 0 | F: 0; 
24-01-2023 05:27:12.599;StatusLog;AC; NORMAL_OP; TV_ON_SILENT; 0; 6; M: 0 | F: 0; 
24-01-2023 05:32:12.671;StatusLog;AC; NORMAL_OP; TV_ON_SILENT; 0; 6; M: 0 | F: 0; 
24-01-2023 05:37:12.743;StatusLog;AC; NORMAL_OP; TV_ON_SILENT; 0; 6; M: 0 | F: 0; 
24-01-2023 05:42:12.817;StatusLog;AC; NORMAL_OP; TV_ON_SILENT; 0; 6; M: 0 | F: 0; 
24-01-2023 05:47:12.889;StatusLog;AC; NORMAL_OP; TV_ON_SILENT; 0; 6; M: 0 | F: 0; 
24-01-2023 05:52:12.966;StatusLog;AC; NORMAL_OP; TV_ON_SILENT; 0; 6; M: 0 | F: 0; 
24-01-2023 05:57:13.042;StatusLog;AC; NORMAL_OP; TV_ON_SILENT; 0; 6; M: 0 | F: 0; 
24-01-2023 06:02:13.133;StatusLog;AC; NORMAL_OP; TV_ON_SILENT; 0; 6; M: 0 | F: 0; 
24-01-2023 06:07:13.221;StatusLog;AC; NORMAL_OP; TV_ON_SILENT; 0; 6; M: 0 | F: 0; 
24-01-2023 06:12:13.302;StatusLog;AC; NORMAL_OP; TV_ON_SILENT; 0; 6; M: 0 | F: 0; 
24-01-2023 06:17:13.387;StatusLog;AC; NORMAL_OP; TV_ON_SILENT; 0; 6; M: 0 | F: 0; 
24-01-2023 06:18:45.214;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
24-01-2023 06:23:42.506;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
24-01-2023 06:28:42.529;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
24-01-2023 06:33:42.551;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
24-01-2023 06:38:42.573;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
24-01-2023 06:43:42.594;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
24-01-2023 06:48:42.613;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
24-01-2023 06:53:42.633;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
24-01-2023 06:58:42.654;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
24-01-2023 07:03:42.673;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
24-01-2023 07:08:42.694;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
24-01-2023 07:13:42.716;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
24-01-2023 07:18:42.737;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
24-01-2023 07:23:42.758;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
24-01-2023 07:28:42.779;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
24-01-2023 07:33:42.800;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
24-01-2023 07:38:42.820;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
24-01-2023 07:43:42.842;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
24-01-2023 07:48:42.864;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
24-01-2023 07:53:42.883;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
24-01-2023 07:58:42.903;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
24-01-2023 08:03:42.925;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
24-01-2023 08:08:42.947;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
24-01-2023 08:13:42.969;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
24-01-2023 08:18:42.990;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
24-01-2023 08:23:43.011;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
24-01-2023 08:28:43.031;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
24-01-2023 08:33:43.047;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
24-01-2023 08:38:43.063;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
24-01-2023 08:43:43.083;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
24-01-2023 08:48:43.111;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
24-01-2023 08:53:43.129;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
24-01-2023 08:58:43.150;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
24-01-2023 08:59:09.986;StatusLog;AC; NORMAL_OP; TV_ON_SILENT; 0; -; M: 0 | F: 0; 
24-01-2023 08:59:17.098;StatusLog;AC; NORMAL_OP; TV_ON_SILENT; 0; 1; M: 0 | F: 0; 
24-01-2023 08:59:47.620;StatusLog;AC; NORMAL_OP; TV_ON; 0; 1; M: 0 | F: 0; 
24-01-2023 08:59:51.589;StatusLog;AC; NORMAL_OP; TV_ON_SILENT; 0; 1; M: 0 | F: 0; 
24-01-2023 09:00:03.722;StatusLog;AC; NORMAL_OP; TV_ON; 0; 1; M: 0 | F: 0; 
24-01-2023 09:42:27.758;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
24-01-2023 09:47:26.855;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
