19-01-2023 00:00:01.505;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:00:05.513;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:00:09.528;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:00:13.541;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:00:17.556;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:00:21.571;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:00:25.583;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:00:29.591;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:00:33.599;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:00:37.611;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:00:41.625;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:00:45.640;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:00:49.650;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:00:53.658;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:00:57.664;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:01:01.678;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:01:05.691;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:01:09.706;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:01:13.722;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:01:17.744;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:01:21.759;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:01:25.771;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:01:29.785;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:01:33.799;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:01:37.810;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:01:41.824;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:01:45.838;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:01:49.845;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:01:53.860;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:01:57.875;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:02:01.889;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:02:05.896;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:02:09.913;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:02:13.928;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:02:17.942;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:02:21.956;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:02:25.971;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:02:29.985;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:02:33.999;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
19-01-2023 00:02:38.012;LAMLog;4; -; -; -; MATCH; -; -; INPUT SILENCE; 
