21-01-2023 00:29:16.591;LAMLog;7; -; -; -; INPUT SILENCE; -; -; BOTH SILENCE; 
21-01-2023 00:29:20.607;LAMLog;7; -; -; -; INPUT SILENCE; -; -; INPUT SILENCE; 
21-01-2023 00:29:24.617;LAMLog;7; -; -; -; BOTH SILENCE; -; -; INPUT SILENCE; 
21-01-2023 00:29:28.630;LAMLog;7; -; -; -; BOTH SILENCE; -; -; BOTH SILENCE; 
21-01-2023 00:29:32.643;LAMLog;7; -; -; -; INPUT SILENCE; -; -; HOLD; 
21-01-2023 00:29:36.655;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:29:40.669;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:29:44.677;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:29:48.691;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:29:52.705;LAMLog;7; -; -; -; INPUT SILENCE; -; -; INPUT SILENCE; 
21-01-2023 00:29:56.721;LAMLog;7; -; -; -; INPUT SILENCE; -; -; INPUT SILENCE; 
21-01-2023 00:30:00.735;LAMLog;7; -; -; -; INPUT SILENCE; -; -; INPUT SILENCE; 
21-01-2023 00:30:04.770;LAMLog;0; -; -; -; INPUT SILENCE; -; -; INPUT SILENCE; 
21-01-2023 00:30:08.778;LAMLog;0; -; -; -; INPUT SILENCE; -; -; NO MATCH; 
21-01-2023 00:30:12.806;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:30:16.812;LAMLog;7; -; -; -; INPUT SILENCE; -; -; HOLD; 
21-01-2023 00:30:20.826;LAMLog;7; -; -; -; INPUT SILENCE; -; -; INPUT SILENCE; 
21-01-2023 00:30:24.841;LAMLog;7; -; -; -; INPUT SILENCE; -; -; INPUT SILENCE; 
21-01-2023 00:30:28.858;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:30:32.871;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:30:36.885;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:30:40.899;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:30:44.911;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:30:48.924;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:30:52.934;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:30:56.949;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:31:00.962;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:31:04.975;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:31:08.991;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:31:13.005;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:31:17.019;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
21-01-2023 00:31:21.030;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
