23-01-2023 00:41:41.073;LAMLog;0; -; -; -; NO MATCH; -; -; INPUT SILENCE; 
23-01-2023 00:41:45.087;LAMLog;0; -; -; -; INPUT SILENCE; -; -; INPUT SILENCE; 
23-01-2023 00:41:49.094;LAMLog;0; -; -; -; BOTH SILENCE; -; -; INPUT SILENCE; 
23-01-2023 00:41:53.106;LAMLog;0; -; -; -; INPUT SILENCE; -; -; INPUT SILENCE; 
23-01-2023 00:41:57.113;LAMLog;0; -; -; -; INPUT SILENCE; -; -; INPUT SILENCE; 
23-01-2023 00:42:01.125;LAMLog;0; -; -; -; INPUT SILENCE; -; -; INPUT SILENCE; 
23-01-2023 00:42:05.133;LAMLog;0; -; -; -; INPUT SILENCE; -; -; INPUT SILENCE; 
23-01-2023 00:42:09.148;LAMLog;0; -; -; -; INPUT SILENCE; -; -; INPUT SILENCE; 
23-01-2023 00:42:13.180;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
23-01-2023 00:42:17.187;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
23-01-2023 00:42:21.201;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
23-01-2023 00:42:25.215;LAMLog;7; -; -; -; INPUT SILENCE; -; -; HOLD; 
23-01-2023 00:42:29.230;LAMLog;7; -; -; -; INPUT SILENCE; -; -; HOLD; 
23-01-2023 00:42:33.245;LAMLog;7; -; -; -; INPUT SILENCE; -; -; INPUT SILENCE; 
23-01-2023 00:42:37.259;LAMLog;7; -; -; -; INPUT SILENCE; -; -; INPUT SILENCE; 
23-01-2023 00:42:41.295;LAMLog;0; -; -; -; INPUT SILENCE; -; -; INPUT SILENCE; 
23-01-2023 00:42:45.303;LAMLog;0; -; -; -; INPUT SILENCE; -; -; INPUT SILENCE; 
23-01-2023 00:42:49.311;LAMLog;0; -; -; -; INPUT SILENCE; -; -; HOLD; 
23-01-2023 00:42:53.318;LAMLog;0; -; -; -; INPUT SILENCE; -; -; HOLD; 
23-01-2023 00:42:57.329;LAMLog;0; -; -; -; INPUT SILENCE; -; -; INPUT SILENCE; 
23-01-2023 00:43:01.366;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
23-01-2023 00:43:05.374;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
23-01-2023 00:43:09.382;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
23-01-2023 00:43:13.396;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
23-01-2023 00:43:17.411;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
23-01-2023 00:43:21.426;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
23-01-2023 00:43:25.438;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
23-01-2023 00:43:29.451;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
23-01-2023 00:43:33.465;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
23-01-2023 00:43:37.480;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
23-01-2023 00:43:41.495;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
23-01-2023 00:43:45.509;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
23-01-2023 00:43:49.521;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
23-01-2023 00:43:53.534;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
23-01-2023 00:43:57.549;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
23-01-2023 00:44:01.556;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
23-01-2023 00:44:05.571;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
23-01-2023 00:44:09.586;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
23-01-2023 00:44:13.600;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
23-01-2023 00:44:17.617;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
23-01-2023 00:44:21.631;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
23-01-2023 00:44:25.645;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
23-01-2023 00:44:29.659;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
23-01-2023 00:44:33.670;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
23-01-2023 00:44:37.684;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
23-01-2023 00:44:41.699;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
23-01-2023 00:44:45.707;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
23-01-2023 00:44:49.722;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
23-01-2023 00:44:53.736;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
23-01-2023 00:44:57.755;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
23-01-2023 00:45:01.769;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
23-01-2023 00:45:05.780;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
23-01-2023 00:45:09.794;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
23-01-2023 00:45:13.807;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
23-01-2023 00:45:17.820;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
23-01-2023 00:45:21.835;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
23-01-2023 00:45:25.850;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
23-01-2023 00:45:29.865;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
23-01-2023 00:45:33.879;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
23-01-2023 00:45:37.892;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
23-01-2023 00:45:41.900;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
23-01-2023 00:45:45.915;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
23-01-2023 00:45:49.929;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
