17-01-2023 00:03:41.154;StatusLog;AC; NORMAL_OP; TV_ON; 0; 3; M: 0 | F: 0; 
17-01-2023 00:09:27.462;StatusLog;AC; NORMAL_OP; TV_ON_SILENT; 0; 3; M: 0 | F: 0; 
17-01-2023 00:10:23.766;StatusLog;AC; NORMAL_OP; TV_ON; 0; 3; M: 0 | F: 0; 
17-01-2023 00:10:35.354;StatusLog;AC; NORMAL_OP; TV_ON_SILENT; 0; 3; M: 0 | F: 0; 
17-01-2023 00:13:11.304;StatusLog;AC; NORMAL_OP; TV_ON; 0; 3; M: 0 | F: 0; 
17-01-2023 00:14:07.345;StatusLog;AC; NORMAL_OP; TV_ON_SILENT; 0; 3; M: 0 | F: 0; 
17-01-2023 00:14:11.446;StatusLog;AC; NORMAL_OP; TV_ON; 0; 3; M: 0 | F: 0; 
17-01-2023 00:14:15.415;StatusLog;AC; NORMAL_OP; TV_ON_SILENT; 0; 3; M: 0 | F: 0; 
17-01-2023 00:14:47.580;StatusLog;AC; NORMAL_OP; TV_ON; 0; 3; M: 0 | F: 0; 
17-01-2023 00:15:59.520;StatusLog;AC; NORMAL_OP; TV_ON_SILENT; 0; 3; M: 0 | F: 0; 
17-01-2023 00:16:03.376;StatusLog;AC; NORMAL_OP; TV_ON; 0; 3; M: 0 | F: 0; 
17-01-2023 00:24:23.303;StatusLog;AC; NORMAL_OP; TV_ON_SILENT; 0; 3; M: 0 | F: 0; 
17-01-2023 00:24:31.739;StatusLog;AC; NORMAL_OP; TV_ON; 0; 3; M: 0 | F: 0; 
17-01-2023 00:24:47.538;StatusLog;AC; NORMAL_OP; TV_ON_SILENT; 0; 3; M: 0 | F: 0; 
17-01-2023 00:24:55.538;StatusLog;AC; NORMAL_OP; TV_ON; 0; 3; M: 0 | F: 0; 
17-01-2023 00:24:59.323;StatusLog;AC; NORMAL_OP; TV_ON_SILENT; 0; 3; M: 0 | F: 0; 
17-01-2023 00:25:19.419;StatusLog;AC; NORMAL_OP; TV_ON; 0; 3; M: 0 | F: 0; 
17-01-2023 00:25:27.268;StatusLog;AC; NORMAL_OP; TV_ON_SILENT; 0; 3; M: 0 | F: 0; 
17-01-2023 00:25:35.252;StatusLog;AC; NORMAL_OP; TV_ON; 0; 3; M: 0 | F: 0; 
17-01-2023 00:26:01.689;StatusLog;AC; NORMAL_OP; TV_ON; 7; 3; M: 0 | F: 0; 
17-01-2023 00:32:59.103;StatusLog;AC; NORMAL_OP; TV_ON; 0; 3; M: 0 | F: 0; 
17-01-2023 00:33:51.293;StatusLog;AC; NORMAL_OP; TV_ON; 7; 3; M: 0 | F: 0; 
17-01-2023 00:44:53.476;StatusLog;AC; NORMAL_OP; TV_ON; 0; 3; M: 0 | F: 0; 
17-01-2023 00:45:29.611;StatusLog;AC; NORMAL_OP; TV_ON; 7; 3; M: 0 | F: 0; 
17-01-2023 00:56:23.870;StatusLog;AC; NORMAL_OP; TV_ON; 0; 3; M: 0 | F: 0; 
17-01-2023 00:56:31.911;StatusLog;AC; NORMAL_OP; TV_ON; 7; 3; M: 0 | F: 0; 
17-01-2023 00:58:00.197;StatusLog;AC; NORMAL_OP; TV_ON; 0; 3; M: 0 | F: 0; 
17-01-2023 00:58:32.302;StatusLog;AC; NORMAL_OP; TV_ON; 7; 3; M: 0 | F: 0; 
17-01-2023 01:33:51.476;StatusLog;AC; NORMAL_OP; TV_ON_SILENT; 7; 3; M: 0 | F: 0; 
17-01-2023 01:38:52.068;StatusLog;AC; NORMAL_OP; TV_ON_SILENT; 7; 3; M: 0 | F: 0; 
17-01-2023 01:43:52.134;StatusLog;AC; NORMAL_OP; TV_ON_SILENT; 7; 3; M: 0 | F: 0; 
17-01-2023 01:48:52.200;StatusLog;AC; NORMAL_OP; TV_ON_SILENT; 7; 3; M: 0 | F: 0; 
17-01-2023 01:53:52.259;StatusLog;AC; NORMAL_OP; TV_ON_SILENT; 7; 3; M: 0 | F: 0; 
17-01-2023 01:54:43.219;StatusLog;AC; NORMAL_OP; TV_ON; 7; 3; M: 0 | F: 0; 
17-01-2023 01:54:47.857;StatusLog;AC; NORMAL_OP; TV_ON_SILENT; 7; 3; M: 0 | F: 0; 
17-01-2023 01:54:59.478;StatusLog;AC; NORMAL_OP; TV_ON; 7; 3; M: 0 | F: 0; 
17-01-2023 01:55:03.931;StatusLog;AC; NORMAL_OP; TV_ON_SILENT; 7; 3; M: 0 | F: 0; 
17-01-2023 02:00:04.346;StatusLog;AC; NORMAL_OP; TV_ON_SILENT; 7; 3; M: 0 | F: 0; 
17-01-2023 02:05:04.408;StatusLog;AC; NORMAL_OP; TV_ON_SILENT; 7; 3; M: 0 | F: 0; 
17-01-2023 02:10:04.469;StatusLog;AC; NORMAL_OP; TV_ON_SILENT; 7; 3; M: 0 | F: 0; 
17-01-2023 02:15:04.538;StatusLog;AC; NORMAL_OP; TV_ON_SILENT; 7; 3; M: 0 | F: 0; 
17-01-2023 02:15:27.366;StatusLog;AC; NORMAL_OP; TV_ON; 7; 3; M: 0 | F: 0; 
17-01-2023 02:15:31.894;StatusLog;AC; NORMAL_OP; TV_ON_SILENT; 7; 3; M: 0 | F: 0; 
17-01-2023 02:15:51.497;StatusLog;AC; NORMAL_OP; TV_ON; 7; 3; M: 0 | F: 0; 
17-01-2023 02:15:55.343;StatusLog;AC; NORMAL_OP; TV_ON_SILENT; 7; 3; M: 0 | F: 0; 
17-01-2023 02:18:35.467;StatusLog;AC; NORMAL_OP; TV_ON; 7; 3; M: 0 | F: 0; 
17-01-2023 02:18:47.531;StatusLog;AC; NORMAL_OP; TV_ON_SILENT; 7; 3; M: 0 | F: 0; 
17-01-2023 02:20:35.466;StatusLog;AC; NORMAL_OP; TV_ON; 7; 3; M: 0 | F: 0; 
17-01-2023 02:20:51.378;StatusLog;AC; NORMAL_OP; TV_ON_SILENT; 7; 3; M: 0 | F: 0; 
17-01-2023 02:23:19.881;StatusLog;AC; NORMAL_OP; TV_ON; 7; 3; M: 0 | F: 0; 
17-01-2023 02:23:23.443;StatusLog;AC; NORMAL_OP; TV_ON_SILENT; 7; 3; M: 0 | F: 0; 
17-01-2023 02:23:55.431;StatusLog;AC; NORMAL_OP; TV_ON; 7; 3; M: 0 | F: 0; 
17-01-2023 02:23:59.251;StatusLog;AC; NORMAL_OP; TV_ON_SILENT; 7; 3; M: 0 | F: 0; 
17-01-2023 02:28:59.732;StatusLog;AC; NORMAL_OP; TV_ON_SILENT; 7; 3; M: 0 | F: 0; 
17-01-2023 02:33:59.794;StatusLog;AC; NORMAL_OP; TV_ON_SILENT; 7; 3; M: 0 | F: 0; 
17-01-2023 02:35:11.362;StatusLog;AC; NORMAL_OP; TV_ON; 7; 3; M: 0 | F: 0; 
17-01-2023 02:35:15.437;StatusLog;AC; NORMAL_OP; TV_ON_SILENT; 7; 3; M: 0 | F: 0; 
17-01-2023 02:37:47.497;StatusLog;AC; NORMAL_OP; TV_ON; 7; 3; M: 0 | F: 0; 
17-01-2023 02:37:51.318;StatusLog;AC; NORMAL_OP; TV_ON_SILENT; 7; 3; M: 0 | F: 0; 
17-01-2023 02:42:51.908;StatusLog;AC; NORMAL_OP; TV_ON_SILENT; 7; 3; M: 0 | F: 0; 
17-01-2023 02:44:15.480;StatusLog;AC; NORMAL_OP; TV_ON; 7; 3; M: 0 | F: 0; 
17-01-2023 02:44:19.860;StatusLog;AC; NORMAL_OP; TV_ON_SILENT; 7; 3; M: 0 | F: 0; 
17-01-2023 02:46:47.432;StatusLog;AC; NORMAL_OP; TV_ON; 7; 3; M: 0 | F: 0; 
17-01-2023 02:46:55.875;StatusLog;AC; NORMAL_OP; TV_ON_SILENT; 7; 3; M: 0 | F: 0; 
17-01-2023 02:47:03.360;StatusLog;AC; NORMAL_OP; TV_ON; 7; 3; M: 0 | F: 0; 
17-01-2023 02:47:11.388;StatusLog;AC; NORMAL_OP; TV_ON_SILENT; 7; 3; M: 0 | F: 0; 
17-01-2023 02:47:31.858;StatusLog;AC; NORMAL_OP; TV_ON; 7; 3; M: 0 | F: 0; 
17-01-2023 02:47:35.538;StatusLog;AC; NORMAL_OP; TV_ON_SILENT; 7; 3; M: 0 | F: 0; 
17-01-2023 02:47:51.374;StatusLog;AC; NORMAL_OP; TV_ON; 7; 3; M: 0 | F: 0; 
17-01-2023 02:47:55.347;StatusLog;AC; NORMAL_OP; TV_ON_SILENT; 7; 3; M: 0 | F: 0; 
17-01-2023 02:48:19.392;StatusLog;AC; NORMAL_OP; TV_ON; 7; 3; M: 0 | F: 0; 
17-01-2023 02:48:23.836;StatusLog;AC; NORMAL_OP; TV_ON_SILENT; 7; 3; M: 0 | F: 0; 
17-01-2023 02:53:24.056;StatusLog;AC; NORMAL_OP; TV_ON_SILENT; 7; 3; M: 0 | F: 0; 
17-01-2023 02:57:35.831;StatusLog;AC; NORMAL_OP; TV_ON; 7; 3; M: 0 | F: 0; 
17-01-2023 02:58:00.414;StatusLog;AC; NORMAL_OP; TV_ON; 0; 3; M: 0 | F: 0; 
17-01-2023 02:58:11.779;StatusLog;AC; NORMAL_OP; TV_ON_SILENT; 0; 3; M: 0 | F: 0; 
17-01-2023 02:58:31.363;StatusLog;AC; NORMAL_OP; TV_ON; 0; 3; M: 0 | F: 0; 
17-01-2023 02:58:43.466;StatusLog;AC; NORMAL_OP; TV_ON_SILENT; 0; 3; M: 0 | F: 0; 
17-01-2023 02:58:44.577;StatusLog;AC; NORMAL_OP; TV_ON_SILENT; 4; 3; M: 0 | F: 0; 
17-01-2023 02:58:47.506;StatusLog;AC; NORMAL_OP; TV_ON; 4; 3; M: 0 | F: 0; 
17-01-2023 03:50:23.576;StatusLog;AC; NORMAL_OP; TV_ON_SILENT; 4; 3; M: 0 | F: 0; 
17-01-2023 03:50:31.485;StatusLog;AC; NORMAL_OP; TV_ON; 4; 3; M: 0 | F: 0; 
17-01-2023 03:50:34.920;StatusLog;AC; NORMAL_OP; TV_ON; 0; 3; M: 0 | F: 0; 
17-01-2023 03:50:42.969;StatusLog;AC; NORMAL_OP; TV_ON; 4; 3; M: 0 | F: 0; 
17-01-2023 03:50:43.323;StatusLog;AC; NORMAL_OP; TV_ON_SILENT; 4; 3; M: 0 | F: 0; 
17-01-2023 03:52:39.961;StatusLog;AC; NORMAL_OP; TV_ON; 4; 3; M: 0 | F: 0; 
17-01-2023 03:52:47.466;StatusLog;AC; NORMAL_OP; TV_ON_SILENT; 4; 3; M: 0 | F: 0; 
17-01-2023 03:53:39.438;StatusLog;AC; NORMAL_OP; TV_ON; 4; 3; M: 0 | F: 0; 
17-01-2023 03:54:07.947;StatusLog;AC; NORMAL_OP; TV_ON_SILENT; 4; 3; M: 0 | F: 0; 
17-01-2023 03:54:19.436;StatusLog;AC; NORMAL_OP; TV_ON; 4; 3; M: 0 | F: 0; 
17-01-2023 03:54:35.360;StatusLog;AC; NORMAL_OP; TV_ON_SILENT; 4; 3; M: 0 | F: 0; 
17-01-2023 03:55:47.385;StatusLog;AC; NORMAL_OP; TV_ON; 4; 3; M: 0 | F: 0; 
17-01-2023 03:55:55.374;StatusLog;AC; NORMAL_OP; TV_ON_SILENT; 4; 3; M: 0 | F: 0; 
17-01-2023 03:56:11.394;StatusLog;AC; NORMAL_OP; TV_OFF; 4; -; -; 
17-01-2023 04:01:09.987;StatusLog;AC; NORMAL_OP; TV_OFF; 4; -; -; 
17-01-2023 04:06:10.007;StatusLog;AC; NORMAL_OP; TV_OFF; 4; -; -; 
17-01-2023 04:11:10.027;StatusLog;AC; NORMAL_OP; TV_OFF; 4; -; -; 
17-01-2023 04:16:10.057;StatusLog;AC; NORMAL_OP; TV_OFF; 4; -; -; 
17-01-2023 04:21:10.072;StatusLog;AC; NORMAL_OP; TV_OFF; 4; -; -; 
17-01-2023 04:26:10.094;StatusLog;AC; NORMAL_OP; TV_OFF; 4; -; -; 
17-01-2023 04:31:10.112;StatusLog;AC; NORMAL_OP; TV_OFF; 4; -; -; 
17-01-2023 04:36:10.131;StatusLog;AC; NORMAL_OP; TV_OFF; 4; -; -; 
17-01-2023 04:41:10.152;StatusLog;AC; NORMAL_OP; TV_OFF; 4; -; -; 
17-01-2023 04:46:10.173;StatusLog;AC; NORMAL_OP; TV_OFF; 4; -; -; 
17-01-2023 04:51:10.194;StatusLog;AC; NORMAL_OP; TV_OFF; 4; -; -; 
17-01-2023 04:56:10.219;StatusLog;AC; NORMAL_OP; TV_OFF; 4; -; -; 
17-01-2023 05:01:10.240;StatusLog;AC; NORMAL_OP; TV_OFF; 4; -; -; 
17-01-2023 05:06:10.263;StatusLog;AC; NORMAL_OP; TV_OFF; 4; -; -; 
17-01-2023 05:11:10.284;StatusLog;AC; NORMAL_OP; TV_OFF; 4; -; -; 
17-01-2023 05:16:10.304;StatusLog;AC; NORMAL_OP; TV_OFF; 4; -; -; 
17-01-2023 05:21:10.324;StatusLog;AC; NORMAL_OP; TV_OFF; 4; -; -; 
17-01-2023 05:26:10.345;StatusLog;AC; NORMAL_OP; TV_OFF; 4; -; -; 
17-01-2023 05:31:10.365;StatusLog;AC; NORMAL_OP; TV_OFF; 4; -; -; 
17-01-2023 05:36:10.384;StatusLog;AC; NORMAL_OP; TV_OFF; 4; -; -; 
17-01-2023 05:41:10.403;StatusLog;AC; NORMAL_OP; TV_OFF; 4; -; -; 
17-01-2023 05:46:10.428;StatusLog;AC; NORMAL_OP; TV_OFF; 4; -; -; 
17-01-2023 05:51:10.444;StatusLog;AC; NORMAL_OP; TV_OFF; 4; -; -; 
17-01-2023 05:56:10.466;StatusLog;AC; NORMAL_OP; TV_OFF; 4; -; -; 
17-01-2023 06:01:10.488;StatusLog;AC; NORMAL_OP; TV_OFF; 4; -; -; 
17-01-2023 06:06:10.512;StatusLog;AC; NORMAL_OP; TV_OFF; 4; -; -; 
17-01-2023 06:11:10.534;StatusLog;AC; NORMAL_OP; TV_OFF; 4; -; -; 
17-01-2023 06:16:10.556;StatusLog;AC; NORMAL_OP; TV_OFF; 4; -; -; 
17-01-2023 06:21:10.576;StatusLog;AC; NORMAL_OP; TV_OFF; 4; -; -; 
17-01-2023 06:26:10.599;StatusLog;AC; NORMAL_OP; TV_OFF; 4; -; -; 
17-01-2023 06:31:10.620;StatusLog;AC; NORMAL_OP; TV_OFF; 4; -; -; 
17-01-2023 06:36:10.638;StatusLog;AC; NORMAL_OP; TV_OFF; 4; -; -; 
17-01-2023 06:41:10.658;StatusLog;AC; NORMAL_OP; TV_OFF; 4; -; -; 
17-01-2023 06:46:10.680;StatusLog;AC; NORMAL_OP; TV_OFF; 4; -; -; 
17-01-2023 06:51:10.702;StatusLog;AC; NORMAL_OP; TV_OFF; 4; -; -; 
17-01-2023 06:56:10.723;StatusLog;AC; NORMAL_OP; TV_OFF; 4; -; -; 
17-01-2023 07:01:10.749;StatusLog;AC; NORMAL_OP; TV_OFF; 4; -; -; 
17-01-2023 07:06:10.764;StatusLog;AC; NORMAL_OP; TV_OFF; 4; -; -; 
17-01-2023 07:11:10.786;StatusLog;AC; NORMAL_OP; TV_OFF; 4; -; -; 
17-01-2023 07:16:10.808;StatusLog;AC; NORMAL_OP; TV_OFF; 4; -; -; 
17-01-2023 07:21:10.830;StatusLog;AC; NORMAL_OP; TV_OFF; 4; -; -; 
17-01-2023 07:26:10.851;StatusLog;AC; NORMAL_OP; TV_OFF; 4; -; -; 
17-01-2023 07:31:10.872;StatusLog;AC; NORMAL_OP; TV_OFF; 4; -; -; 
17-01-2023 07:36:10.897;StatusLog;AC; NORMAL_OP; TV_OFF; 4; -; -; 
17-01-2023 07:41:10.918;StatusLog;AC; NORMAL_OP; TV_OFF; 4; -; -; 
17-01-2023 07:46:10.942;StatusLog;AC; NORMAL_OP; TV_OFF; 4; -; -; 
17-01-2023 07:51:10.966;StatusLog;AC; NORMAL_OP; TV_OFF; 4; -; -; 
17-01-2023 07:56:10.989;StatusLog;AC; NORMAL_OP; TV_OFF; 4; -; -; 
17-01-2023 08:01:11.005;StatusLog;AC; NORMAL_OP; TV_OFF; 4; -; -; 
17-01-2023 08:06:11.028;StatusLog;AC; NORMAL_OP; TV_OFF; 4; -; -; 
17-01-2023 08:11:11.051;StatusLog;AC; NORMAL_OP; TV_OFF; 4; -; -; 
17-01-2023 08:16:11.066;StatusLog;AC; NORMAL_OP; TV_OFF; 4; -; -; 
17-01-2023 08:21:11.086;StatusLog;AC; NORMAL_OP; TV_OFF; 4; -; -; 
17-01-2023 08:26:11.106;StatusLog;AC; NORMAL_OP; TV_OFF; 4; -; -; 
