22-01-2023 00:02:23.198;StatusLog;AC; NORMAL_OP; TV_OFF; 4; -; -; 
22-01-2023 00:07:23.214;StatusLog;AC; NORMAL_OP; TV_OFF; 4; -; -; 
22-01-2023 00:12:23.232;StatusLog;AC; NORMAL_OP; TV_OFF; 4; -; -; 
22-01-2023 00:17:23.253;StatusLog;AC; NORMAL_OP; TV_OFF; 4; -; -; 
22-01-2023 00:22:23.276;StatusLog;AC; NORMAL_OP; TV_OFF; 4; -; -; 
22-01-2023 00:27:23.297;StatusLog;AC; NORMAL_OP; TV_OFF; 4; -; -; 
22-01-2023 00:32:23.318;StatusLog;AC; NORMAL_OP; TV_OFF; 4; -; -; 
22-01-2023 00:37:23.339;StatusLog;AC; NORMAL_OP; TV_OFF; 4; -; -; 
22-01-2023 00:42:23.362;StatusLog;AC; NORMAL_OP; TV_OFF; 4; -; -; 
22-01-2023 00:47:23.386;StatusLog;AC; NORMAL_OP; TV_OFF; 4; -; -; 
22-01-2023 00:52:23.407;StatusLog;AC; NORMAL_OP; TV_OFF; 4; -; -; 
22-01-2023 00:57:23.424;StatusLog;AC; NORMAL_OP; TV_OFF; 4; -; -; 
22-01-2023 01:01:48.370;StatusLog;AC; NORMAL_OP; TV_ON_SILENT; 4; -; M: 0 | F: 0; 
22-01-2023 01:01:52.415;StatusLog;AC; NORMAL_OP; TV_ON_SILENT; 4; 3; M: 0 | F: 0; 
22-01-2023 01:01:55.559;StatusLog;AC; NORMAL_OP; TV_ON; 4; 3; M: 0 | F: 0; 
22-01-2023 01:02:40.651;StatusLog;AC; NORMAL_OP; TV_ON; 0; 3; M: 0 | F: 0; 
22-01-2023 01:02:56.715;StatusLog;AC; NORMAL_OP; TV_ON; 4; 3; M: 0 | F: 0; 
22-01-2023 01:03:03.716;StatusLog;AC; NORMAL_OP; TV_ON_SILENT; 4; 3; M: 0 | F: 0; 
22-01-2023 01:03:07.546;StatusLog;AC; NORMAL_OP; TV_ON; 4; 3; M: 0 | F: 0; 
22-01-2023 01:12:42.718;StatusLog;AC; NORMAL_OP; TV_ON; 0; 3; M: 0 | F: 0; 
22-01-2023 02:10:51.647;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
22-01-2023 02:15:50.439;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
22-01-2023 02:20:50.460;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
22-01-2023 02:25:50.482;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
