27-01-2023 00:00:03.673;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
27-01-2023 00:00:07.687;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
27-01-2023 00:00:11.701;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
27-01-2023 00:00:15.715;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
27-01-2023 00:00:19.724;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
27-01-2023 00:00:23.742;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
27-01-2023 00:00:27.755;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
27-01-2023 00:00:31.768;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
27-01-2023 00:00:35.782;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
27-01-2023 00:00:39.796;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
27-01-2023 00:00:43.811;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
27-01-2023 00:00:47.825;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
27-01-2023 00:00:51.839;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
27-01-2023 00:00:55.853;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
27-01-2023 00:00:59.865;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
27-01-2023 00:01:03.873;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
27-01-2023 00:01:07.887;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
27-01-2023 00:01:11.902;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
27-01-2023 00:01:15.915;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
27-01-2023 00:01:19.929;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
27-01-2023 00:01:23.943;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
27-01-2023 00:01:27.955;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
27-01-2023 00:01:31.968;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
27-01-2023 00:01:35.983;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
27-01-2023 00:01:39.998;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
27-01-2023 00:01:44.011;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
27-01-2023 00:01:48.019;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
27-01-2023 00:01:52.033;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
27-01-2023 00:01:56.047;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
27-01-2023 00:02:00.063;LAMLog;7; -; -; -; INPUT SILENCE; -; -; MATCH; 
