26-01-2023 19:03:19.334;StatusLog;AC; OS_RST; TV_OFF; 0; -; -; 
26-01-2023 19:03:49.375;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
26-01-2023 19:08:49.274;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
26-01-2023 19:09:16.631;StatusLog;AC; NORMAL_OP; TV_ON_SILENT; 0; -; M: 0 | F: 0; 
26-01-2023 19:09:18.039;StatusLog;AC; NORMAL_OP; TV_ON_SILENT; 0; 1; M: 0 | F: 0; 
26-01-2023 19:09:33.936;StatusLog;AC; NORMAL_OP; TV_ON; 0; 1; M: 0 | F: 0; 
26-01-2023 19:10:34.165;StatusLog;AC; NORMAL_OP; TV_ON_SILENT; 0; 1; M: 0 | F: 0; 
26-01-2023 19:10:42.149;StatusLog;AC; NORMAL_OP; TV_ON; 0; 1; M: 0 | F: 0; 
26-01-2023 19:13:37.186;StatusLog;AC; OS_RST; TV_OFF; 0; -; -; 
26-01-2023 19:14:04.117;StatusLog;BATTERY; NORMAL_OP; TV_OFF; 0; -; -; 
26-01-2023 19:14:06.118;StatusLog;BATTERY; NORMAL_OP; TV_ON; 0; -; M: 0 | F: 0; 
26-01-2023 19:14:08.951;StatusLog;USB; NORMAL_OP; TV_ON; 0; -; M: 0 | F: 0; 
26-01-2023 19:14:13.246;StatusLog;USB; NORMAL_OP; TV_ON; 0; 2; M: 0 | F: 0; 
26-01-2023 19:15:22.698;StatusLog;USB; NORMAL_OP; TV_ON; 0; 2; M: 0 | F: 0; 
26-01-2023 19:15:34.550;StatusLog;USB; NORMAL_OP; TV_ON; 7; 2; M: 0 | F: 0; 
26-01-2023 19:16:18.708;StatusLog;USB; NORMAL_OP; TV_ON; 4; 2; M: 0 | F: 0; 
26-01-2023 19:19:26.326;StatusLog;USB; WDOG_RST; TV_ON; 4; -; M: 0 | F: 0; 
26-01-2023 19:45:19.829;StatusLog;USB; WDOG_RST; TV_ON; 4; -; M: 0 | F: 0; 
26-01-2023 19:46:03.682;StatusLog;USB; NORMAL_OP; TV_ON; 4; -; M: 0 | F: 0; 
26-01-2023 19:46:06.029;StatusLog;USB; NORMAL_OP; TV_ON; 4; 8; M: 0 | F: 0; 
26-01-2023 19:47:26.487;StatusLog;USB; NORMAL_OP; TV_ON; 4; 8; M: 0 | F: 0; 
26-01-2023 19:47:36.163;StatusLog;USB; NORMAL_OP; TV_ON; 4; 8; M: 0 | F: 0; 
26-01-2023 19:49:16.532;StatusLog;USB; NORMAL_OP; TV_ON; 7; 8; M: 0 | F: 0; 
26-01-2023 19:55:30.026;StatusLog;USB; NORMAL_OP; TV_ON; 7; 8,4; M: 0 | F: 0; 
26-01-2023 19:56:50.126;StatusLog;USB; NORMAL_OP; TV_ON; 0; 8,4; M: 0 | F: 0; 
26-01-2023 19:59:42.728;StatusLog;USB; NORMAL_OP; TV_ON; 0; 8,4,2; M: 0 | F: 0; 
26-01-2023 20:08:16.979;StatusLog;USB; WDOG_RST; TV_ON; 0; -; M: 0 | F: 0; 
26-01-2023 20:16:05.032;StatusLog;USB; WDOG_RST; TV_ON; 0; -; M: 0 | F: 0; 
26-01-2023 20:16:16.038;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
26-01-2023 20:16:43.176;StatusLog;USB; NORMAL_OP; TV_ON; 0; -; M: 0 | F: 0; 
26-01-2023 20:16:46.149;StatusLog;USB; NORMAL_OP; TV_ON; 0; 7; M: 0 | F: 0; 
26-01-2023 20:16:48.140;StatusLog;USB; NORMAL_OP; TV_ON; 0; 7,2; M: 0 | F: 0; 
26-01-2023 20:19:47.898;StatusLog;USB; WDOG_RST; TV_ON; 0; -; M: 0 | F: 0; 
