27-01-2023 00:16:55.947;StatusLog;AC; NORMAL_OP; TV_ON_SILENT; 7; 2; M: 0 | F: 0; 
27-01-2023 00:17:00.326;StatusLog;AC; NORMAL_OP; TV_ON; 7; 2; M: 0 | F: 0; 
27-01-2023 00:21:31.905;StatusLog;AC; NORMAL_OP; TV_ON; 4; 2; M: 0 | F: 0; 
27-01-2023 01:24:24.588;StatusLog;AC; NORMAL_OP; TV_ON; 0; 2; M: 0 | F: 0; 
27-01-2023 01:58:19.531;StatusLog;AC; NORMAL_OP; TV_ON; 4; 2; M: 0 | F: 0; 
27-01-2023 01:58:39.610;StatusLog;AC; NORMAL_OP; TV_ON; 0; 2; M: 0 | F: 0; 
27-01-2023 02:01:23.884;StatusLog;AC; NORMAL_OP; TV_ON_SILENT; 0; 2; M: 0 | F: 0; 
27-01-2023 02:01:24.043;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-01-2023 02:06:21.535;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-01-2023 02:11:21.557;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-01-2023 02:16:21.579;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-01-2023 02:21:21.600;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-01-2023 02:26:21.615;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-01-2023 02:31:21.635;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-01-2023 02:36:21.659;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-01-2023 02:41:21.687;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-01-2023 02:46:21.708;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-01-2023 02:51:21.732;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-01-2023 02:56:21.755;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-01-2023 03:01:21.777;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-01-2023 03:06:21.802;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-01-2023 03:11:21.818;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-01-2023 03:16:21.841;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-01-2023 03:21:21.861;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-01-2023 03:26:21.886;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-01-2023 03:31:21.911;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-01-2023 03:36:21.935;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-01-2023 03:41:21.958;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-01-2023 03:46:21.976;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-01-2023 03:51:22.000;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-01-2023 03:56:22.033;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-01-2023 04:01:22.048;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-01-2023 04:06:22.071;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-01-2023 04:11:22.092;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-01-2023 04:16:22.117;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-01-2023 04:21:22.139;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
